id_medicao;data_medicao;id_projeto
182133;2025-01-25;15615
180028;2025-01-17;15615
178398;2025-01-10;15615
175872;2024-12-19;15615
174781;2024-12-13;15615
173604;2024-12-07;15615
171681;2024-11-29;15615
170389;2024-11-23;15615
168605;2024-11-14;15615
167601;2024-11-08;15615
166386;2024-11-01;15615
165137;2024-10-25;15615
163517;2024-10-18;15615
162201;2024-10-11;15615
161371;2024-10-07;15615
160004;2024-09-30;15615
158631;2024-09-23;15615
157610;2024-09-17;15615
156134;2024-09-09;15615
155004;2024-09-02;15615
153904;2024-08-28;15615
152626;2024-08-20;15615
145463;2024-07-09;15615
139407;2024-06-05;15615
138043;2024-05-28;15615
138046;2024-05-27;15615
130575;2024-04-17;15615
119875;2024-02-07;15615
115757;2024-01-10;15615
105745;2023-10-24;15615
103275;2023-10-05;15615
101682;2023-09-25;15615
99914;2023-09-12;15615
449816;2026-04-24;22099
444099;2026-04-17;22099
442229;2026-04-10;22099
438795;2026-04-03;22099
435969;2026-03-27;22099
433519;2026-03-20;22099
422162;2026-03-13;22099
419387;2026-03-06;22099
416291;2026-02-27;22099
414761;2026-02-20;22099
413002;2026-02-13;22099
410577;2026-02-06;22099
405636;2026-01-30;22099
400148;2026-01-23;22099
398779;2026-01-16;22099
394740;2026-01-09;22099
394372;2026-01-02;22099
391722;2025-12-19;22099
390041;2025-12-12;22099
388634;2025-12-05;22099
385004;2025-11-28;22099
383910;2025-11-21;22099
382124;2025-11-14;22099
379127;2025-11-07;22099
377169;2025-10-31;22099
373439;2025-10-24;22099
371250;2025-10-17;22099
369193;2025-10-10;22099
366584;2025-10-03;22099
365907;2025-09-30;22099
363035;2025-09-26;22099
361300;2025-09-19;22099
357650;2025-09-12;22099
354872;2025-09-05;22099
353356;2025-08-29;22099
348938;2025-08-22;22099
346590;2025-08-15;22099
344402;2025-08-08;22099
341561;2025-08-01;22099
340046;2025-07-25;22099
338350;2025-07-18;22099
248759;2025-07-11;22099
248507;2025-07-09;22099
247153;2025-07-04;22099
244552;2025-06-27;22099
242280;2025-06-23;22099
242011;2025-06-20;22099
240160;2025-06-13;22099
238058;2025-06-06;22099
237126;2025-06-04;22099
232920;2025-05-28;22099
218350;2025-04-25;22099
232914;2025-04-19;22099
216401;2025-04-18;22099
214569;2025-04-11;22099
212675;2025-04-04;22099
201849;2025-03-28;22099
196478;2025-03-22;22099
194362;2025-03-14;22099
192793;2025-03-07;22099
190995;2025-02-28;22099
189209;2025-02-21;22099
187733;2025-02-14;22099
186001;2025-02-07;22099
184525;2025-02-01;22099
182128;2025-01-25;22099
180636;2025-01-18;22099
178810;2025-01-11;22099
176922;2024-12-28;22099
176333;2024-12-21;22099
175079;2024-12-13;22099
173655;2024-12-07;22099
171978;2024-11-30;22099
170307;2024-11-22;22099
168691;2024-11-14;22099
167812;2024-11-08;22099
166431;2024-11-01;22099
164761;2024-10-25;22099
163428;2024-10-18;22099
162374;2024-10-11;22099
161051;2024-10-04;22099
159581;2024-09-27;22099
158423;2024-09-20;22099
157078;2024-09-13;22099
155848;2024-09-06;22099
154668;2024-08-30;22099
153252;2024-08-23;22099
152389;2024-08-16;22099
150726;2024-08-09;22099
149680;2024-08-02;22099
148642;2024-07-29;22099
147508;2024-07-22;22099
146530;2024-07-15;22099
144778;2024-07-05;22099
143022;2024-06-26;22099
140392;2024-06-11;22099
447171;2026-04-17;25015
445577;2026-04-16;25015
442897;2026-04-10;25015
438883;2026-03-30;25015
435721;2026-03-23;25015
433716;2026-03-16;25015
422781;2026-03-10;25015
422136;2026-03-07;25015
418553;2026-02-28;25015
414826;2026-02-21;25015
414750;2026-02-20;25015
412739;2026-02-11;25015
408856;2026-01-30;25015
400149;2026-01-16;25015
397439;2026-01-09;25015
393615;2025-12-19;25015
391813;2025-12-12;25015
389766;2025-12-05;25015
387437;2025-11-28;25015
384301;2025-11-19;25015
380904;2025-11-11;25015
378135;2025-10-31;25015
377379;2025-10-30;25015
369752;2025-10-09;25015
368665;2025-10-03;25015
365046;2025-09-26;25015
362859;2025-09-19;25015
360907;2025-09-12;25015
357150;2025-09-05;25015
354807;2025-08-29;25015
351566;2025-08-22;25015
348914;2025-08-15;25015
346838;2025-08-08;25015
344816;2025-08-01;25015
342451;2025-07-25;25015
339836;2025-07-18;25015
338277;2025-07-11;25015
248458;2025-07-09;25015
247656;2025-07-04;25015
245589;2025-06-27;25015
242055;2025-06-20;25015
239070;2025-06-11;25015
236742;2025-05-30;25015
231865;2025-05-23;25015
225031;2025-05-16;25015
222401;2025-05-09;25015
220606;2025-05-02;25015
218789;2025-04-25;25015
216832;2025-04-17;25015
215120;2025-04-11;25015
212626;2025-04-04;25015
201846;2025-03-28;25015
196537;2025-03-21;25015
194645;2025-03-14;25015
192994;2025-03-07;25015
191836;2025-02-28;25015
189745;2025-02-25;25015
188462;2025-02-19;25015
188095;2025-02-17;25015
186328;2025-02-10;25015
184419;2025-02-03;25015
182288;2025-01-27;25015
180908;2025-01-20;25015
178827;2025-01-13;25015
175620;2024-12-17;25015
173923;2024-12-09;25015
172015;2024-12-02;25015
170786;2024-11-25;25015
169125;2024-11-15;25015
167826;2024-11-08;25015
166749;2024-11-01;25015
164865;2024-10-25;25015
163190;2024-10-18;25015
161959;2024-10-11;25015
158145;2024-09-20;25015
157107;2024-09-13;25015
155890;2024-09-06;25015
154720;2024-08-30;25015
152228;2024-08-16;25015
151093;2024-08-10;25015
150926;2024-08-09;25015
149745;2024-08-02;25015
410975;2026-02-06;25017
409659;2026-02-02;25017
401640;2026-01-23;25017
399528;2026-01-16;25017
396605;2026-01-09;25017
393090;2025-12-19;25017
390946;2025-12-12;25017
388991;2025-12-05;25017
386786;2025-11-28;25017
384191;2025-11-21;25017
382431;2025-11-14;25017
379807;2025-11-07;25017
377167;2025-10-31;25017
375625;2025-10-27;25017
372705;2025-10-17;25017
371162;2025-10-11;25017
368132;2025-10-03;25017
364362;2025-09-26;25017
362079;2025-09-19;25017
359011;2025-09-12;25017
356811;2025-09-05;25017
353918;2025-08-29;25017
350032;2025-08-22;25017
347987;2025-08-15;25017
345827;2025-08-08;25017
344021;2025-08-01;25017
340088;2025-07-22;25017
339040;2025-07-18;25017
254728;2025-07-11;25017
246907;2025-07-04;25017
245324;2025-06-30;25017
242071;2025-06-23;25017
239361;2025-06-12;25017
238068;2025-06-06;25017
236686;2025-06-03;25017
231173;2025-05-23;25017
223846;2025-05-16;25017
221654;2025-05-09;25017
219211;2025-04-30;25017
217741;2025-04-25;25017
215980;2025-04-17;25017
214881;2025-04-11;25017
203317;2025-04-04;25017
201409;2025-03-28;25017
196105;2025-03-21;25017
194115;2025-03-14;25017
192682;2025-03-07;25017
191885;2025-02-28;25017
189807;2025-02-21;25017
187589;2025-02-14;25017
186034;2025-02-07;25017
183636;2025-01-31;25017
182449;2025-01-24;25017
180701;2025-01-17;25017
178699;2025-01-10;25017
175215;2024-12-13;25017
173549;2024-12-06;25017
171773;2024-11-29;25017
170574;2024-11-22;25017
168811;2024-11-14;25017
167696;2024-11-08;25017
