id_projeto;base;base_cost;base_duration;base_end_at;base_start_at;color;delay;delta;expected;expected_duration;expected_end_at;expected_start_at;idp;name;name_x;name_y;position;realized;service_id;total_cost
15257;1.0;1283594.5230130004;281.0;2024-08-06;2023-10-30;#E66503;212.0;-99.0;1.0;380.0;2025-03-06;2024-02-20;0.98;PINTURA (CASA EXISTENTE);PINTURA (CASA EXISTENTE);PINTURA (CASA EXISTENTE);35;0.98156703;1823151;446234.8420334674
15257;1.0;651663.0092266952;293.0;2024-08-20;2023-11-01;#03A12A;232.0;-120.0;1.0;413.0;2025-04-09;2024-02-21;0.99;LOUÇAS/BANCADAS/TANQUE (CASA EXISTENTE);LOUÇAS/BANCADAS/TANQUE (CASA EXISTENTE);LOUÇAS/BANCADAS/TANQUE (CASA EXISTENTE);36;0.99269946;1823621;656872.6890088147
15257;1.0;1502140.3618733652;302.0;2024-09-03;2023-11-06;#E70302;196.0;-137.0;1.0;439.0;2025-03-18;2024-01-04;0.95;ENFIAÇÃO ELÉTRICA (CASA EXISTENTE);ENFIAÇÃO ELÉTRICA (CASA EXISTENTE);ENFIAÇÃO ELÉTRICA (CASA EXISTENTE);37;0.95439024;1823635;1305300.9748694696
15257;1.0;162974.0173990058;314.0;2024-09-17;2023-11-08;#1C303E;219.0;12.0;1.0;302.0;2025-04-24;2024-06-26;0.53;TORNEIRA/CHUVEIRO (CASA EXISTENTE);TORNEIRA/CHUVEIRO (CASA EXISTENTE);TORNEIRA/CHUVEIRO (CASA EXISTENTE);38;0.52636233;1823636;164276.9030521509
15257;1.0;490216.2073528829;326.0;2024-10-01;2023-11-10;#2C65FB;183.0;-79.0;1.0;405.0;2025-04-02;2024-02-22;1.0;SERVIÇOS GERAIS (CASA EXISTENTE);SERVIÇOS GERAIS (CASA EXISTENTE);SERVIÇOS GERAIS (CASA EXISTENTE);39;1.0;1823637;494135.2107948883
15257;0.0;0.0;336.0;2024-10-15;2023-11-14;#727800;178.0;42.0;0.0;294.0;2025-04-11;2024-06-21;0.0;TESTE FUNCIONAL DA UNIDADE (CASA EXISTENTE);TESTE FUNCIONAL DA UNIDADE (CASA EXISTENTE);TESTE FUNCIONAL DA UNIDADE (CASA EXISTENTE);40;0.0;1823638;0.0
15257;0.0;0.0;347.0;2024-10-29;2023-11-17;#23843B;170.0;51.0;0.0;296.0;2025-04-17;2024-06-25;0.0;LIMPEZA FINAL (CASA EXISTENTE);LIMPEZA FINAL (CASA EXISTENTE);LIMPEZA FINAL (CASA EXISTENTE);41;0.0;1823639;0.0
15257;0.0;0.0;357.0;2024-11-12;2023-11-21;#E4045F;164.0;96.0;0.0;261.0;2025-04-25;2024-08-07;0.0;VISTORIA (CASA EXISTENTE);VISTORIA (CASA EXISTENTE);VISTORIA (CASA EXISTENTE);42;0.0;1823640;0.0
15257;1.0;98394.7826621156;189.0;2024-12-09;2024-06-03;#4F9002;129.0;-206.0;1.0;395.0;2025-04-17;2024-03-18;0.96;PINTURA 2ª DEMÃO INTERNO;PINTURA 2ª DEMÃO INTERNO;PINTURA 2ª DEMÃO INTERNO;43;0.95905066;1889900;111558.7105035699
15257;0.0;0.0;222.0;2024-05-20;2023-10-11;#E66503;-138.0;136.0;1.0;86.0;2024-01-03;2023-10-09;0.0;REF EST - REFORÇO ESTRUTURAL;REF EST - REFORÇO ESTRUTURAL;REF EST - REFORÇO ESTRUTURAL;44;1.0;1895699;146190.0399893186
15257;1.0;433517.1489971991;219.0;2024-11-07;2024-04-02;#224DBF;155.0;-196.0;1.0;415.0;2025-04-11;2024-02-21;0.95;PINTURA 1ª DEMÃO EXTERNO;PINTURA 1ª DEMÃO EXTERNO;PINTURA 1ª DEMÃO EXTERNO;45;0.95077793;1919434;892469.6840423923
15257;1.0;185856.8116979085;187.0;2024-12-16;2024-06-12;#40505B;129.0;-212.0;1.0;399.0;2025-04-24;2024-03-21;0.95;PINTURA 2ª DEMÃO EXTERNO;PINTURA 2ª DEMÃO EXTERNO;PINTURA 2ª DEMÃO EXTERNO;46;0.95077793;1919441;446234.8420080321
15257;1.0;621062.2038632307;208.0;2024-11-26;2024-05-02;#224DBF;125.0;133.0;1.0;75.0;2025-03-31;2025-01-15;0.68;ELÉTRICA EXTERNO;ELÉTRICA EXTERNO;ELÉTRICA EXTERNO;47;0.68179268;1919442;730968.5459269031
15257;1.0;349005.799998604;245.0;2024-10-22;2024-02-20;#2A5FEC;85.0;-104.0;0.0;349.0;2025-01-15;2024-02-01;0.0;GESSO LISO;GESSO LISO;GESSO LISO;48;0.0;1919443;0.0
15257;;;;;;#03A12A;;;;;;;;Terraplanagem;;;49;;1945803;
15257;0.0;0.0;;;;#910291;;;1.0;30.0;2023-08-31;2023-08-01;0.0;LIMPEZA TERRENO_MOBILIZAÇÃO;LIMPEZA TERRENO_MOBILIZAÇÃO;LIMPEZA TERRENO_MOBILIZAÇÃO;50;1.0;1945805;157266.24
15257;0.0;0.0;;;;#20826C;;;1.0;30.0;2023-08-31;2023-08-01;0.0;INSTALAÇÕES PROVISÓRIAS;INSTALAÇÕES PROVISÓRIAS;INSTALAÇÕES PROVISÓRIAS;51;1.0;1992142;66379.18
15257;0.0;0.0;;;;#193A92;;;1.0;71.0;2024-04-26;2024-02-15;0.0;ESTRUTURA DE CONTENÇÃO;ESTRUTURA DE CONTENÇÃO;ESTRUTURA DE CONTENÇÃO;52;1.0;2025564;1325880.97
15257;0.0;0.0;;;;#E70302;;;0.99999999;500.0;2025-04-25;2023-12-12;0.0;MURO DIVISA LOTES;MURO DIVISA LOTES;MURO DIVISA LOTES;53;0.9204;2025565;679031.68
15257;0.0;0.0;;;;#973841;;;0.0;123.0;2025-03-28;2024-11-25;0.0;EQ COMUNITÁRIO - PRAÇA 01;EQ COMUNITÁRIO - PRAÇA 01;EQ COMUNITÁRIO - PRAÇA 01;54;0.0;2483224;0.0
15257;0.0;0.0;;;;#AB4646;;;0.0;32.0;2025-04-28;2025-03-27;0.0;EQ COMUNITÁRIO - PRAÇA 02;EQ COMUNITÁRIO - PRAÇA 02;EQ COMUNITÁRIO - PRAÇA 02;55;0.0;2483225;0.0
15257;0.0;0.0;;;;#8C0BF1;;;0.0;25.0;2025-03-25;2025-02-28;0.0;EQ COMUNITÁRIO - PRAÇA 03;EQ COMUNITÁRIO - PRAÇA 03;EQ COMUNITÁRIO - PRAÇA 03;56;0.0;2483226;0.0
15257;0.0;0.0;;;;#587832;;;0.0;20.0;2025-03-26;2025-03-06;0.0;EQ COMUNITÁRIO - PRAÇA 04;EQ COMUNITÁRIO - PRAÇA 04;EQ COMUNITÁRIO - PRAÇA 04;57;0.0;2483227;0.0
15257;0.0;0.0;;;;#6806B5;;;0.0;207.0;2025-03-28;2024-09-02;0.0;ESTAÇÃO TRATAMENTO DE ESGOTO;ESTAÇÃO TRATAMENTO DE ESGOTO;ESTAÇÃO TRATAMENTO DE ESGOTO;58;0.0;2483228;0.0
15257;0.0;0.0;;;;#243A0B;;;0.0;25.0;2024-12-20;2024-11-25;0.0;EMISSÁRIO;EMISSÁRIO;EMISSÁRIO;59;0.0;2483229;0.0
15615;;;;;;#9D673F;;;;;;;;IMPERMEABILIZAÇÃO CALHA C/ MANTA ASFÁLTICA;;;1;;3187759;
15615;;;;;;#AB4646;;;;;;;;TELHAMENTO;;;2;;3187758;
