id_projeto;id_pavimento;nome_pavimento;id_atividade;servico_atividade;unidade_nome;unidade_tipo;unidade_quantidade_max;id_servico;nome_servico;unidade_servico_nome;unidade_servico_tipo;unidade_servico_quantidade_max
15257;616354;QD 41 Casa Existente - Mód II;15481817;FORRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;15481873;PINTURA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;15486831;LOUÇAS/BANCADAS/TANQUE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;15489704;TORNEIRA/CHUVEIRO (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;15489726;SERVIÇOS GERAIS (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;15489748;TESTE FUNCIONAL DA UNIDADE (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;15489793;LIMPEZA FINAL (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;15489815;VISTORIA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;15489838;ENFIAÇÃO ELÉTRICA (CASA EXISTENTE);Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;16293443;CD E KIT - CAIXA D'ÁGUA E KIT ELÉTRICO;Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;16327765;REF EST - REFORÇO ESTRUTURAL;Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;17316652;DEM/REM OUTROS ITENS (CASA) - DEMOLIÇÃO/REMOÇÃO OUTROS ITENS (CASA);Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;17316776;DEM COB. - DEMOLIÇÃO COBERTURA;Percentual;quantity;100.0;;;;;
15257;616354;QD 41 Casa Existente - Mód II;17316913;LIMPEZA GERAL;Percentual;quantity;100.0;;;;;
